#{"t_start": 1654292888.0442126, "env_id": "kelin-v0"}
r,l,t
-21.91925,100,511.145463
-18.995766,100,514.431545
-12.116807,100,518.044749
-22.024421,100,521.636647
503.938527,100,525.200718
-30.234464,100,528.563558
-16.570468,100,531.832516
-18.569905,100,535.137713
-26.311894,100,538.452003
-27.001087,100,541.858643
-11.128981,100,545.207646
-136.446632,100,548.614175
-31.119376,100,551.95661
-57.78703,100,555.396349
-18.703611,100,558.732506
-31.586816,100,561.897465
-19.430352,100,565.361545
-20.76199,100,568.896554
-30.20699,100,572.52233
-18.535936,100,575.863354
600.683279,100,579.338494
-27.305273,100,582.86818
228.234557,100,586.309597
2526.529057,100,589.948377
-14.591446,100,593.458949
-14.934519,100,597.513061
-8.955517,100,601.272253
-28.743329,100,605.2255
-24.27645,100,608.646546
-23.823497,100,612.005206
-20.209426,100,615.402331
-13.501792,100,618.858284
-18.770385,100,622.220303
-22.133754,100,625.618496
-32.201717,100,628.9686
-13.332221,100,632.413388
986.084814,100,635.99821
-21.514046,100,639.767439
-22.431912,100,643.415612
-23.508426,100,647.312953
-16.656519,100,650.734389
-11.287776,100,654.143103
-24.760368,100,657.707982
934.950868,100,662.052414
-23.534518,100,665.402434
-11.902238,100,668.809062
-22.477032,100,672.126369
-26.565059,100,675.556181
-10.689228,100,679.590966
-12.508212,100,683.509167
-15.082113,100,687.206882
94.174298,100,690.888338
-10.756292,100,694.316958
-68.385465,100,697.790106
934.488594,100,701.269866
993.028343,100,704.77422
-17.774496,100,708.147768
-34.171094,100,711.505946
-23.230457,100,715.322208
-20.105498,100,718.76923
-26.002397,100,722.969342
-15.674001,100,726.833984
-10.700232,100,730.171874
-15.363164,100,733.533346
1385.065348,100,737.029688
-20.174345,100,740.403417
-21.941209,100,743.78103
-18.89816,100,747.131054
-20.355045,100,750.490252
-8.965139,100,753.824193
-23.738424,100,757.186856
-25.201303,100,760.507539
-15.630219,100,763.848876
1135.105149,100,767.404933
-9.666016,100,770.767237
-27.255022,100,774.175924
-11.143596,100,777.681672
-10.180726,100,781.882815
-9.903798,100,785.629303
-16.542158,100,789.236957
-20.798371,100,793.294716
-26.469316,100,797.420336
-53.795793,100,801.599855
-13.088121,100,805.648777
-21.908157,100,809.754571
-13.209345,100,813.914718
-16.086918,100,817.999613
-24.866963,100,822.081954
-31.55429,100,826.25205
-70.566291,100,830.263213
-14.324356,100,834.397626
-18.319473,100,838.418807
-14.715574,100,842.249899
-11.726412,100,845.696537
-20.930268,100,849.143638
-25.633633,100,852.577623
-18.569453,100,856.085501
-9.981771,100,859.538042
-11.147376,100,863.929695
-181.999114,100,867.880502
-29.865232,100,871.355829
-15.569198,100,874.961411
-14.934156,100,878.456554
-12.497646,100,882.160562
-23.040338,100,885.673244
-26.746817,100,889.25554
-17.833625,100,892.786389
-24.165075,100,896.207597
820.764119,100,899.776469
-13.620565,100,903.264518
372.235857,100,906.852448
-19.60092,100,910.485502
-7.206376,100,914.12162
-12.608697,100,917.820669
-25.360743,100,921.567358
-11.31098,100,925.001588
803.721566,100,928.769725
-15.032198,100,932.261672
-19.124617,100,935.706128
-118.063277,100,939.150218
-16.491014,100,942.596648
-21.136471,100,946.084437
-21.956532,100,949.598383
-26.719564,100,952.998579
988.113798,100,956.567533
-9.306532,100,959.994793
-27.992747,100,963.446215
988.410648,100,967.072406
-22.833332,100,970.514917
-17.006899,100,974.030153
-22.400293,100,977.57208
-13.654477,100,981.024626
-27.884631,100,984.487989
991.409827,100,988.014234
-17.634298,100,991.493795
-16.941035,100,994.939382
-22.288338,100,998.423327
-26.048449,100,1001.851336
-19.850233,100,1005.283457
-89.323916,100,1008.719324
-9.265396,100,1012.224314
-21.511478,100,1015.707442
993.224349,100,1019.361307
-31.911791,100,1022.869653
-22.198802,100,1026.324299
-23.801886,100,1029.783962
-21.099867,100,1033.220164
-22.174759,100,1036.723296
-21.749512,100,1040.975274
-27.597278,100,1045.954899
-21.139948,100,1049.566337
-16.792139,100,1053.113584
-9.936735,100,1057.012724
-6.690372,100,1060.49718
994.066428,100,1064.043024
-20.011257,100,1067.986935
-30.536493,100,1072.329941
-22.730344,100,1076.864578
-19.591581,100,1080.88175
-15.873917,100,1084.688956
-16.500529,100,1087.994109
-7.213217,100,1091.39904
-20.905446,100,1094.759782
-23.232242,100,1098.199006
-16.837318,100,1101.630882
-23.070874,100,1104.929789
-17.168525,100,1108.722337
-13.73834,100,1112.218889
-19.633137,100,1116.467039
-13.378591,100,1120.629111
-15.159132,100,1124.891711
-13.863367,100,1128.875972
-18.539802,100,1132.474731
-23.898085,100,1136.001622
850.960951,100,1139.820165
-25.514085,100,1143.336791
-22.200839,100,1146.876735
-25.106774,100,1150.37396
-19.596871,100,1153.978549
-22.864528,100,1157.457918
-14.059664,100,1160.962729
-19.343462,100,1164.509899
-19.861263,100,1168.016492
-24.689904,100,1171.462159
-27.654486,100,1175.082829
-27.430454,100,1178.585492
-21.599781,100,1182.106688
220.18777,100,1185.799556
-12.71842,100,1189.391471
-18.898412,100,1192.910442
-30.133594,100,1196.531523
494.427031,100,1200.10665
-24.500612,100,1203.820595
-11.994458,100,1207.382649
-12.658447,100,1210.980924
-28.978573,100,1214.483531
-24.023509,100,1218.019758
-29.718945,100,1221.500899
-24.836122,100,1225.084497
-26.052283,100,1228.613375
-17.276165,100,1232.081671
989.625697,100,1235.760254
-14.231384,100,1239.32731
-21.435028,100,1242.896566
-14.380858,100,1246.440711
-19.38622,100,1249.908446
-20.71424,100,1253.367188
-13.663572,100,1256.849503
-11.960365,100,1260.284382
-23.599074,100,1264.472402
-13.144004,100,1268.778498
-29.067014,100,1272.236336
-20.816856,100,1275.707488
-16.575528,100,1279.217268
-22.104119,100,1282.65834
-24.075222,100,1286.7098
-10.258698,100,1290.451471
-22.687617,100,1293.893178
-21.811773,100,1297.372317
-18.170888,100,1300.798472
870.10648,100,1304.462887
-28.143352,100,1308.027244
-25.502709,100,1311.488234
-14.955912,100,1315.016241
-24.331047,100,1318.534587
993.038609,100,1322.174293
-21.309743,100,1325.650015
-10.727955,100,1329.131275
-22.638177,100,1332.816333
-17.489113,100,1336.350452
-30.095331,100,1339.89816
-22.214247,100,1343.448323
-20.122054,100,1346.909137
-17.829096,100,1350.423076
-13.849854,100,1353.954133
-16.788073,100,1357.465008
-22.794183,100,1360.956125
-8.249471,100,1364.503072
-26.442372,100,1368.178811
-17.933222,100,1371.735164
-29.776919,100,1375.325123
-20.992301,100,1378.92404
-31.249955,100,1382.514933
-13.45242,100,1386.00685
-7.746378,100,1390.449509
-24.767749,100,1394.783903
-14.716253,100,1398.590069
-12.969028,100,1402.983118
-19.330176,100,1406.884056
-30.059117,100,1410.740203
-22.651428,100,1414.61079
-23.530539,100,1418.522873
-23.758398,100,1422.42292
-28.445584,100,1426.30394
-10.407604,100,1430.015759
-15.167069,100,1433.514034
-25.395334,100,1437.039857
-29.992027,100,1440.70995
-23.771029,100,1444.321062
-6.41817,100,1447.869999
-13.034644,100,1451.340824
-18.91418,100,1454.937805
-24.567813,100,1458.399978
-22.440882,100,1461.948834
-21.640031,100,1465.570396
-15.902368,100,1469.050626
-20.707429,100,1472.577743
-235.95721,100,1476.133768
-23.539852,100,1479.818522
-14.586237,100,1483.406575
-17.89597,100,1487.000811
-22.875241,100,1490.524092
-22.757883,100,1494.013634
-30.124787,100,1497.584569
-26.561045,100,1501.127955
-53.852833,100,1505.040585
-18.612685,100,1509.038504
-24.113556,100,1513.017283
19.110715,100,1516.884923
-48.850341,100,1520.563696
-24.450722,100,1524.146686
-26.674278,100,1527.727813
-23.310371,100,1531.331132
-15.416995,100,1535.217566
-11.817113,100,1538.587802
-23.78316,100,1542.322484
990.591331,100,1546.057526
-15.966434,100,1549.364922
-29.133397,100,1552.905516
-23.012139,100,1556.194586
-21.064642,100,1559.630453
-12.317861,100,1563.196535
-18.779477,100,1567.120386
995.195139,100,1571.402768
-21.628309,100,1575.321029
